texto,etiqueta,tipo,origen,,,,,,,
"| Un informe de Wall Street Journal revela la profunda crisis interna que vive Claudia Sheinbaum. No duerme más de cuatro horas, está indecisa por sus decisiones, esta exhausta por la presión de Donald Trump y enojada porque los logros no satisfacen al republicano. Se queja",0,neutro o no misogino,real,,,,,,,
"Lo de Rubén Rocha Moya es apenas el comienzo, diría que apenas una advertencia. Estados Unidos, con Marco Rubio liderando esta misión, está decidido a encarcelar a todos los funcionarios mexicanos que estén vinculados al narcotráfico. Si Claudia Sheinbaum se niega a cooperar",0,neutro o no misogino,real,,,,,,,
¡EL BOMBAZO QUE HACE TEMBLAR A PALACIO Y A MORENA! Vienen por más… EE. UU. va formalmente por Rubén Rocha Moya y la extradición es inminente. Claudia Sheinbaum ( @USER )y Ernestina Godoy ( @USER ) ya no saben ni dónde meterse. Se les acabó el discurso de la,0,neutro o no misogino,real,,,,,,,
Plan México avanza. Acuerdo para el acero producido en México.,0,neutro o no misogino,real,,,,,,,
"El gobierno de Claudia Sheinbaum ( @USER ), a través de Milenio Diario, difundió una fotografía falsa para construir la narrativa de que el gobierno de Chihuahua prestó uniformes estatales a los agentes de la CIA abatidos durante el operativo contra un laboratorio de",0,neutro o no misogino,real,,,,,,,
Claudia Sheinbaum en la cumbre de defensa de la democracia.,0,neutro o no misogino,real,,,,,,,
"Tuvimos una muy grata conversación telefónica con el primer ministro de Canadá, Mark Carney, para dar seguimiento a los acuerdos comerciales y a las inversiones en nuestros países. Canadá y México somos naciones cercanas y socios comerciales. En las próximas semanas el equipo de",0,neutro o no misogino,real,,,,,,,
"Buenas noches, vengo del futuro, específicamente del 8 de agosto del 2033. Hoy el Presidente Salinas Pliego supervisó la construcción del NAIM y el cierre definitivo del AIFA. Por la noche ofreció un mensaje a la nación en la que anunció que AMLO y Claudia Sheinbaum serán pronto",0,neutro o no misogino,real,,,,,,,
"Claudia Sheinbaum ( @USER ): Hay malas noticias para ti y buenas noticias para la soberanía de México. Como lo advirtió la ""comentocracia"", @USER es acusado de narcotráfico. Tu defendiste hasta donde pudiste al amigo de tu mentor @USER pero ya no puedes",0,neutro o no misogino,real,,,,,,,
"ÚLTIMA NOTICIA La presidenta de México, Claudia Sheinbaum, propuso en Barcelona destinar el 10% del gasto militar mundial a un programa global de reforestación. “En vez de sembrar guerra, sembremos paz, sembremos vida”, afirmó, en un mensaje que ha generado impacto en el",0,neutro o no misogino,real,,,,,,,
Estrategia nacional de atención a la salud mental para las y los jóvenes,0,neutro o no misogino,real,,,,,,,
"|#ÚLTIMAHORA La presidente de México, Claudia Sheinbaum, fue captada en video riéndose durante la mañanera ante la denuncia de un ciudadano indígena por falta de medicamentos y ausencia de doctores en el hospital Tepehua Otomí, desatando indignación en redes sociales y",0,neutro o no misogino,real,,,,,,,
"| De acuerdo a Forbes México, López Obrador y Claudia Sheinbaum han contraído la mitad de la deuda completa que tiene México: 11.5 billones de pesos mexicanos (650 mil millones de dólares). Esta cifra contempla los últimos siete años, donde justamente gobernó Morena. La",0,neutro o no misogino,real,,,,,,,
Claudia Sheinbaum se quiso vender en Barcelona como heredera de la Pirámide del Sol e hija de Moctezuma… cuando la realidad es mucho más simple: su origen es completamente europeo. Y no tiene absolutamente nada de malo. Lo cuestionable es querer construir una narrativa que no,0,neutro o no misogino,real,,,,,,,
